,DIABLO,TRIM48,SCARNA16 /// MIR6516 /// SNHG20,RBP1,RPL7,F2RL1,HIST1H2BB,CENPJ,RPSAP15,HS3ST1,RASGEF1C,CYP26B1,GSDMD,IFNL2,MTFMT,UBXN7-AS1,GAS1,LOC100506127,TAF1A,OARD1,CACNA1C,IL16,MOCS3,NIFK
TARGET-20-PABHET,0.6337997471668415,0.8323396012370777,-0.2432722195917252,-0.4739998542108682,-1.6633965234608583,-0.011047918125096158,-1.9602421094921416,-0.8560963553509119,0.5478920586605873,-0.2237205624061475,-0.8393543856493172,1.136075488430763,0.6638031990140119,0.3538178933541084,-0.32657337651605683,0.1644514151319091,0.7916293248979435,-1.1726675233392607,0.14020672875017556,-0.7262974126344968,-1.1482858880246611,1.3242224081407494,1.7648762436040066,0.2520239769047142
TARGET-20-PABHKY,0.6856444418009797,-0.46398793398408,-0.11349833346416248,-0.11381883201919107,-2.1705557063716534,-0.029556959161470824,-0.5456766952712688,-1.5966264931086545,-0.7103314867841387,-1.0449165856028648,-0.2680077494631205,-0.14024639575852274,0.18770076713667447,-0.5712701369933817,-0.5933026599114717,-1.4122528024739256,1.1949913638708245,0.006442751793875403,-0.33766463700942817,-1.1676441464874066,0.9925820264742554,-0.11018772156603447,-1.1658939906216748,0.04780831631937494
TARGET-20-PACDZR,0.11711858886156752,-0.12341617006311408,0.8820300865694433,1.1477145281563572,-1.5726642476996004,0.2690547261300816,0.2673126716132591,0.14990253924917876,1.1023509238108244,0.2948894528000167,-0.4027968011663435,0.6323951653462754,0.6562726097351079,-0.3430889096783586,0.373409180755198,0.2376913380190707,2.2335452469608787,-1.85633650410762,-0.02592523987551897,-1.0113253391572177,-0.19163569024894656,0.4942019437995763,-0.6069785863908729,0.5413811439328746
TARGET-20-PADDXZ,1.0191757492127915,1.1935317701483412,0.8950603901204819,3.4054411311705457,-1.4083189934905345,-0.15083356023780822,-0.6247961930791439,-1.1019943521951592,0.12404938398660847,0.4531292605546666,-0.06339091476425536,2.6033277841515297,0.8417175175283229,0.18451311438739024,-1.2170790609742077,0.6110091466131585,0.8208305772922632,-0.5097084372213617,-2.0239975636209206,-0.7282112080229662,0.4484581386100429,-0.3548322051872971,-2.509458317807282,-0.4179263117353232
TARGET-20-PADZKD,-0.3918625757124532,0.7703237332287655,0.06819833584899325,1.8880632307287275,1.4279205889144164,0.13518995292032393,-0.3240026350308786,0.025730368327175443,-0.543418355745053,0.6445664083952433,2.510861202858926,-0.4780973903719462,-0.5882650854102258,-0.08078080283339623,-0.625378875509494,0.13246796450911744,0.7642082865138959,0.5690649239272123,-1.283779189953204,0.4601791764010419,0.8940844490736789,0.2260254136593901,0.8358682068419975,-0.8606518156648856
TARGET-20-PAECBZ,1.2374097820697258,-0.9917414242044541,-0.0512571373142994,-0.403701952994336,-0.003252666489560592,-0.9704311032722784,0.2164959936003957,2.426441624824767,-1.5524469056166372,-1.5617740250891172,-1.5441506659365216,-0.907580238859355,0.015276812171516748,-1.3760626664960993,1.6220915360589918,-0.7155898136623057,-1.516676557584104,1.1635096171088144,2.2738244503608365,1.6139171056578312,-0.4133856333418166,1.050613396673217,1.1052772536286888,1.1447831577463516
TARGET-20-PAECRF,2.745826975085004,-1.5787785787719266,1.4936826772848444,0.049137522870548164,1.0478721885559408,0.8673281653434108,-1.0354250584507927,0.9382573776066736,-0.4910715680097187,-0.6056804707551722,0.1353771734049231,0.534091804814527,-2.803452611883225,0.9691514238532876,2.2151997946638,1.4068910458352195,-0.08842808501939811,-0.4658034605623881,1.4711647522056404,1.9674078725440636,-0.02770041478712781,-2.0276446885286363,1.8745795373995633,0.8179812881576528
TARGET-20-PAEGRE,-0.3732783803159628,-0.4767468095718253,0.07146142370948905,-0.5124799145173038,2.3741897479150698,1.6335493282463278,-0.38713884313050223,0.10854317900594383,1.0513768203731384,1.1653607933392731,-0.4874920085466037,-0.5066632337960563,-0.9403450150004542,0.39855839570436624,0.3933697780159064,0.8860765065870528,-0.9425575392709828,-0.2275285458181353,0.4895077029608685,0.8609789652902435,0.003353403912688137,-1.3191759938867658,0.3220294503711344,0.3655718094279418
TARGET-20-PAERAH,0.9933836649475662,1.252866985507916,0.3215947465292647,1.3795521054254771,0.6592641395407476,2.5915788104605704,0.6947107086663469,-1.3186975065147706,0.4286533091898336,0.07068675889146488,0.8641488497718294,0.5339812273561121,0.3057684642450911,2.5945519471931697,-0.9048427104906196,-0.17044267193427326,1.512386294025024,0.14634061575462962,0.6595777134302407,-0.1461877544816285,-0.4053212695709331,1.5647141776704414,-0.2545750900374375,0.7955661144869259
TARGET-20-PAERXF,0.4571919962104592,0.06131688314369535,2.8973837024627884,0.7360736044205533,1.255871650914295,-0.20867589490513785,-1.1538054486375888,0.3670223787061121,1.6320222782785243,-0.45053942007051706,-0.4784733306916684,-0.8146214554843797,-0.6679831736798303,0.8321073929316202,0.19063819250443392,-0.7251775853857162,0.03308587774635045,-0.8420971951674051,0.2506721397889545,0.14876639078929013,-0.7739549726896736,-0.14651744044263942,-0.10693210193980733,0.17222802455156475
TARGET-20-PAKKIM,0.224744817030038,-1.3023362743707785,1.357448759109137,1.2344765347776336,1.3667191010188495,-0.6429362049349021,-1.2872614901974022,1.1366935931643232,0.3549243237411312,-0.951141084763354,1.0898390307455932,0.4254310223444905,-1.1644878628546318,1.7588982682590732,0.20068038445962652,2.2778045222563894,-0.3036617014872706,-0.656193057919727,-0.5209671355382811,1.6561226732915426,-0.39488975424541656,-2.0801934982912065,-0.8105131149115848,0.7090817635384812
